1;3;1;admin@spmedicalgroup.com.br;senhadoadmin;Leninha
2;2;1;ricardo.lemos@spmedicalgroup.com.br;abc123;Ricardo Lemos
3;2;1;roberto.possarle@spmedicalgroup.com.br;123abc;Roberto Possarle
4;2;1;helena.souza@spmedicalgroup.com.br;def345;Helena Souza
5;1;1;ligia@gmail.com;345def;Ligia
6;1;1;alexandre@gmail.com;jotape;Alexandre
7;1;1;fernando@gmail.com;abece;Fernando
8;1;1;henrique@gmail.com;18011995;Henrique
9;1;1;joao@hotmail.com;30211999;João
10;1;1;bruno@gmail.com;abc26;Bruno
11;1;1;mariana@outlook.com;Info@sala13;Mariana
